Date,Top,Jgl,Mid,Bot,Sup,Patch,Win - Lose,Opponent,E-Top,E-Jgl,E-Mid,E-Bot,E-Sup,side,Winrate since the start,"58,48%",Winrate Red: 057% | Winrate Blue: 062%,,,,,,,,Champion
03/02/2025,Ambessa,Vi,Orianna,Kaisa,Leona,15.2,Win,Nord,Poppy,Brand,Jayce,Ezreal,Alistar,,,,,,,,,,,,
03/02/2025,Galio,Zyra,Corki,Kaisa,Leona,15.2,Lose,Nord,Rumble,Sejuani,Jayce,Varus,Renata,,,,,,,,,,,,
03/02/2025,Malphite,Amumu,Corki,Jhin,Pyke,15.2,Win,Nord,Gnar,Maokai,Viktor,Caitlyn,Pantheon,Add Pantheon,,,,,,,,,,,
03/02/2025,KSante,Nocturne,Orianna,Ezreal,Rakan,15.2,Win,Nord,Poppy,Zyra,Mel,Smolder,Leona,Add mel,,,,,,,,,,,
03/02/2025,Rumble,JarvanIV,Azir,MissFortune,Rell,15.2,Win,Nord,Ambessa,Sejuani,Aurora,Kaisa,Braum,,,,,,,,,,,,
04/02/2025,Renekton,Zyra,Jayce,Corki,Poppy,15.2,Win,ULF,Ambessa,Vi,Taliyah,MissFortune,Rell,,,,,,,,,,,,
04/02/2025,Jayce,Maokai,Hwei,Smolder,Rell,15.2,Win,ULF,KSante,XinZhao,Azir,Corki,Rakan,,,,,,,,,,,,
04/02/2025,KSante,XinZhao,Azir,Varus,Rakan,15.2,Lose,ULF,Gnar,Sejuani,Taliyah,Ezreal,Rell,,,,,,,,,,,,
04/02/2025,Jax,Maokai,Yone,Ashe,Braum,15.2,Win,ULF,Rumble,XinZhao,Azir,Varus,Leona,,,,,,,,,,,,
04/02/2025,Ambessa,Vi,Ahri,Kaisa,Rell,15.2,Win,ULF,KSante,MonkeyKing,Galio,Xayah,Renata,,,,,,,,,,,,
05/02/2025,Ornn,Maokai,Smolder,Kaisa,Nautilus,15.2,Win,MKF,Rumble,Vi,Yone,Corki,Alistar,,,,,,,,,,,,
05/02/2025,KSante,XinZhao,Hwei,Ezreal,Karma,15.2,Lose,MKF,Poppy,MonkeyKing,Azir,Twitch,Rakan,,,,,,,,,,,,
05/02/2025,Gragas,JarvanIV,Ahri,MissFortune,Rell,15.2,Win,MKF,Jax,Sejuani,Galio,Jinx,Leona,,,,,,,,,,,,
05/02/2025,Chogath,Zyra,Jayce,Ashe,Leona,15.2,Lose,MKF,KSante,Nocturne,Hwei,Varus,Nautilus,,,,,,,,,,,,
05/02/2025,Rumble,Maokai,Corki,Kaisa,Alistar,15.2,Lose,MKF,Sion,Viego,Azir,Varus,Rell,,,,,,,,,,,,
07/02/2025,Ambessa,Maokai,Jayce,Corki,Leona,15.2,Win,EWI,Ornn,Nocturne,Viktor,Varus,Rell,,,,,,,,,,,,
07/02/2025,Ambessa,Zyra,Jayce,Ashe,Braum,15.2,Lose,EWI,Chogath,Belveth,Hwei,Kalista,Nautilus,,,,,,,,,,,,
07/02/2025,Jayce,Maokai,Orianna,Ashe,Rell,15.2,Win,EWI,Ornn,Belveth,Hwei,Kalista,Poppy,,,,,,,,,,,,
07/02/2025,Ambessa,Nocturne,Orianna,Corki,Nautilus,15.2,Lose,EWI,Chogath,Vi,Viktor,Ezreal,Leona,,,,,,,,,,,,
07/02/2025,,,,,,15.2,,EWI,,,,,,,,,,,,,,,,,
09/02/2025,KSante,Zyra,Jayce,MissFortune,Rell,15.2,Lose,GL,Ambessa,Sion,Azir,Ezreal,Leona,,,,,,,,,,,,
09/02/2025,Renekton,Sejuani,Ahri,Corki,Leona,15.2,Lose,GL,Ambessa,Vi,Taliyah,Vayne,Poppy,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2025,Sion,Zyra,Jayce,Corki,Poppy,15.3,Win,BW,KSante,XinZhao,Mel,Ezreal,Rell,Red,,,,,,,,,,,
10/02/2025,Renekton,XinZhao,Mel,Ashe,Braum,15.3,Win,BW,Ambessa,Sejuani,Aurora,Kaisa,Leona,Blue,,,,,,,,,,,
10/02/2025,Rumble,Nocturne,Mel,Corki,Rell,15.3,Lose,BW,Jayce,JarvanIV,Orianna,Varus,Leona,Red,,,,,,,,,,,
10/02/2025,KSante,Maokai,Corki,Xayah,Rakan,15.3,Lose,BW,Jayce,Volibear,Azir,Kaisa,Leona,Blue,,,,,,,,,,,
10/02/2025,Camille,Ivern,Hwei,Smolder,Leona,15.3,Win,BW,KSante,XinZhao,Orianna,Corki,Rell,Red,,,,,,,,,,,
11/02/2025,KSante,Maokai,Smolder,Kaisa,Alistar,15.3,Lose,TOG,Rumble,Vi,Yone,Zeri,Rell,Red,,,,,,,,,,,
11/02/2025,Ambessa,Sejuani,Mel,Ezreal,Leona,15.3,Lose,TOG,Jayce,Pantheon,Orianna,Varus,Nautilus,Blue,,,,,,,,,,,
